BUS_ID,LAT,LON,gridX,gridY
1,35.8583814,128.577114,88,90
2,35.858722,128.577833,88,90
3,35.857012,128.580998,89,90
4,35.857692,128.580184,89,90
5,35.863177,128.575518,88,90
6,35.863168,128.577256,88,90
7,35.863716,128.577759,88,90
8,35.864807,128.581332,89,90
9,35.8665251,128.5860566,89,90
10,35.865996,128.585249,89,90
11,35.865864,128.590143,89,90
12,35.86463,128.597209,89,90
13,35.865286,128.595819,89,90
14,35.865091,128.596903,89,90
15,35.862711,128.593386,89,90
16,35.863659,128.593061,89,90
17,35.859562,128.592167,89,90
18,35.860239,128.592028,89,90
19,35.858205,128.591525,89,90
20,35.858171,128.591027,89,90
21,35.8572609,128.5900131,89,90
22,35.856947,128.59249,89,90
23,35.902539,128.602678,89,91
24,37.4600979,126.6763654,55,124
25,35.85695,128.588272,89,90
26,35.85667,128.588303,89,90
27,35.856651,128.584882,89,90
28,35.856286,128.583949,89,90
29,35.857895,128.582931,89,90
30,35.858627,128.582571,89,90
31,35.8629643,128.5832521,89,90
32,35.862873,128.582325,89,90
33,35.865016,128.588431,89,90
34,35.861722,128.590976,89,90
35,35.860469,128.59472,89,90
36,35.860283,128.595892,89,90
37,35.867928,128.593746,89,90
38,35.869109,128.593589,89,90
39,35.872764,128.594513,89,91
40,35.873828,128.594465,89,91
41,35.874933,128.587929,89,91
42,35.874799,128.587618,89,91
43,37.5260148,127.1328722,62,126
44,35.871501,128.58756,89,91
45,35.1565189,126.9069571,59,74
46,35.8734353,128.5821409,89,91
47,35.868605,128.582412,89,90
48,35.8691299,128.5798521,89,90
49,35.86756,128.582437,89,90
50,35.866816,128.575843,88,90
51,35.868786,128.578515,88,90
52,35.870527,128.583788,89,90
53,35.870773,128.583336,89,90
54,35.870573,128.585527,89,90
55,35.870482,128.589324,89,90
56,35.870281,128.589888,89,90
57,35.870543,128.589734,89,90
58,35.87043,128.590863,89,90
59,35.870691,128.590799,89,90
60,35.870899,128.596171,89,91
61,35.870544,128.596833,89,90
62,35.87025,128.598137,89,90
63,35.870647,128.597919,89,90
64,36.6507664,127.4885568,69,107
65,35.878005,128.578903,88,91
66,35.876885,128.584887,89,91
67,35.8758518,128.5936953,89,91
68,35.863469,128.6004,89,90
69,35.866381,128.6048056,89,90
70,35.862776,128.605721,89,90
71,35.862195,128.60647,89,90
72,35.855256,128.60449,89,90
73,35.8556044,128.6013895,89,90
74,35.857466,128.598617,89,90
75,35.857909,128.59841,89,90
76,35.86151,128.599278,89,90
77,35.861259,128.598955,89,90
78,35.8639367,128.5994728,89,90
79,35.861436,128.603364,89,90
80,35.909141,128.648607,90,91
81,35.85722,128.604649,89,90
82,35.856634,128.604601,89,90
83,35.856818,128.602166,89,90
84,35.857189,128.60187,89,90
85,35.860087,128.600962,89,90
86,35.859609,128.600958,89,90
87,35.8647287,128.6012032,89,90
88,35.867817,128.599691,89,90
89,35.8688007,128.602126,89,90
90,35.86606,128.603266,89,90
91,35.865338,128.603349,89,90
92,35.868744,128.607106,89,90
93,37.564341,126.9983287,60,127
94,35.868374,128.610758,89,90
95,35.868654,128.610749,89,90
96,35.87139,128.601763,89,91
97,35.871895,128.600697,89,91
98,35.87439,128.597526,89,91
99,35.874623,128.597805,89,91
100,35.874002,128.599428,89,91
101,35.873355,128.602601,89,91
102,35.873433,128.603266,89,91
103,35.872427,128.606083,89,91
104,35.872757,128.606783,89,91
105,37.9025227,127.047342,61,134
106,35.6318394,129.3459925,102,86
107,35.871202,128.604213,89,91
108,35.871209,128.604556,89,91
109,35.872671,128.582364,89,91
110,35.870463,128.598814,89,90
111,35.862803,128.592944,89,90
112,35.8691025,128.5841686,89,90
113,35.8758518,128.5936953,89,91
114,35.864871,128.595915,89,90
115,35.861674,128.591739,89,90
116,35.864255,128.589145,89,90
117,35.8687,128.586975,89,90
118,35.873653,128.602548,89,91
119,35.867419,128.587187,89,90
120,35.866444,128.589328,89,90
121,35.8641864,128.582292,89,90
122,35.8651162,128.5839971,89,90
123,35.9102338,128.6418632,90,91
124,35.9102338,128.6418632,90,91
125,35.914525,128.641283,90,91
126,35.915013,128.640965,90,91
127,35.92997,128.641962,90,92
128,35.930089,128.641641,90,92
129,35.934141,128.643913,90,92
130,35.935478,128.64348,90,92
131,35.939801,128.645721,90,92
132,35.940091,128.64549,90,92
133,35.942454,128.646762,90,92
134,35.942321,128.646384,90,92
135,35.868091,128.616757,89,90
136,35.86783,128.616711,89,90
137,35.867577,128.622102,89,90
138,35.867109,128.623693,89,90
139,35.873902,128.613768,89,91
140,35.874182,128.613726,89,91
141,37.511624,127.085585,62,126
142,35.875086,128.620189,89,91
143,35.875515,128.620813,89,91
144,35.875408,128.6236369,89,91
145,35.871507,128.623871,89,91
146,35.871337,128.623504,89,91
147,35.1491861,126.8877091,59,74
148,35.870047,128.620228,89,90
149,35.869806,128.619916,89,90
150,35.872412,128.619559,89,91
151,35.872655,128.619694,89,91
152,35.871826,128.623099,89,91
153,35.872015,128.623144,89,91
154,35.873346,128.618481,89,91
155,37.5114325,127.084272,62,126
156,35.875932,128.623961,89,91
157,35.876291,128.62423,89,91
158,35.877462,128.629444,89,91
159,35.877332,128.630174,89,91
160,35.87884,128.634904,89,91
161,35.879102,128.634707,89,91
162,35.878039,128.648121,90,91
163,35.877364,128.646221,90,91
164,35.868809,128.631269,89,90
165,35.870197,128.633107,89,91
166,37.5201486,126.9783688,60,126
167,35.872658,128.638121,90,91
168,35.873019,128.637892,90,91
169,35.874155,128.64129,90,91
170,35.8748255,128.640997,90,91
171,35.874075,128.639395,90,91
172,35.874247,128.639186,90,91
173,35.877564,128.639279,90,91
174,35.8781025,128.6413018,90,91
175,35.876535,128.632659,89,91
176,35.876859,128.632806,89,91
177,35.874165,128.634302,89,91
178,35.873938,128.634721,89,91
179,35.868752,128.626662,89,90
180,35.8669646,128.6267757,89,90
181,35.871406,128.625875,89,91
182,35.5390721,129.3162757,102,84
183,35.87503,128.625715,89,91
184,35.875231,128.625207,89,91
185,35.879667,128.628476,89,91
186,35.879034,128.627042,89,91
187,35.881907,128.625769,89,91
188,35.8826824,128.6251453,89,91
189,35.882623,128.625055,89,91
190,35.884553,128.626477,89,91
191,35.884663,128.626101,89,91
192,35.886488,128.632141,89,91
193,35.885744,128.629798,89,91
194,35.884372,128.632184,89,91
195,35.884773,128.632725,89,91
196,35.882163,128.630201,89,91
197,35.882466,128.630857,89,91
198,35.880706,128.628008,89,91
199,35.880097,128.62725,89,91
200,35.886488,128.632141,89,91
201,35.886373,128.631774,89,91
202,35.888903,128.628981,89,91
203,35.88925,128.627965,89,91
204,35.887463,128.625115,89,91
205,35.877843,128.608139,89,91
206,35.879363,128.610488,89,91
207,35.880332,128.611426,89,91
208,35.87822,128.615463,89,91
209,35.87895,128.615435,89,91
210,35.881434,128.61623,89,91
211,35.881687,128.616132,89,91
212,35.850911,128.6244986,89,90
213,35.882331,128.620578,89,91
214,35.88284,128.621413,89,91
215,35.882852,128.622587,89,91
216,35.890728,128.61937,89,91
217,35.890467,128.619257,89,91
218,35.889342,128.617332,89,91
219,35.889125,128.617286,89,91
220,35.884922,128.61444,89,91
221,35.884144,128.613316,89,91
222,35.88284,128.612685,89,91
223,35.885718,128.634715,89,91
224,35.1258659,129.0445903,97,75
225,35.886953,128.639753,90,91
226,35.887171,128.639401,90,91
227,35.886466,128.641422,90,91
228,35.886046,128.6429681,90,91
229,35.88338,128.643834,90,91
230,35.8839907,128.6450513,90,91
231,35.880956,128.647137,90,91
232,35.880917,128.647635,90,91
233,35.888046,128.646031,90,91
234,35.890505,128.642917,90,91
235,35.890723,128.642586,90,91
236,35.891134,128.644916,90,91
237,35.891094,128.645713,90,91
238,35.894477,128.645186,90,91
239,35.895309,128.641283,90,91
240,35.895528,128.640742,90,91
241,35.896842,128.637795,90,91
242,35.896597,128.637981,90,91
243,35.893752,128.637393,90,91
244,35.893824,128.637571,90,91
245,35.899255,128.636518,89,91
246,35.898449,128.637331,90,91
247,35.8999331,128.635024,89,91
248,35.901042,128.630993,89,91
249,35.9004052,128.6317743,89,91
250,35.880054,128.652213,90,91
251,35.878308,128.654989,90,91
